career_name,esco_occupation_uri,esco_occupation_title,source_domain,relation_type,concept_type,external_skill_id,external_skill_name,source_skill_label,source_skill_type,source_skill_type_origin,reuse_level,description,modified_date,relationship_eligible
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/190be8c6-69a6-4aff-8320-473aee68d4c8,orthopaedic manual physiotherapy,orthopaedic manual physiotherapy,knowledge,relationship,occupation-specific,"A specialised area of physiotherapy for the management of neuro-musculoskeletal conditions, based on clinical reasoning, using highly specific treatment approaches including manual techniques and therapeutic exercises.",2024-02-09T17:29:13.7Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/2806260f-6399-4add-8f11-070141423f9d,medical terminology,medical terminology,knowledge,relationship,cross-sector,"The meaning of medical terms and abbreviations, of medical prescriptions and various medical specialties and when to use it correctly.",2024-02-09T17:29:09.851Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/28cd3cc4-5b92-47e6-9534-a0e1a4981103,emergency surgery,emergency surgery,knowledge,relationship,sector-specific,The characteristics and methods of a surgical intervention performed in emergency cases.,2024-02-09T17:29:10.678Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/2ed78f04-8282-40ab-89a6-9392fde00826,orthopaedics,orthopaedics,knowledge,relationship,cross-sector,Orthopaedics is a medical specialty mentioned in the EU Directive 2005/36/EC.,2024-02-09T17:29:13.7Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/4f7b14d8-f09c-49f7-abae-231e8c210e07,general medicine,general medicine,knowledge,relationship,cross-sector,General medicine is a medical specialty mentioned in the EU Directive 2005/36/EC.,2024-02-09T17:29:09.009Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/508f3b4c-799a-4742-b3ae-75f2ff11153d,surgery,surgery,knowledge,relationship,sector-specific,"The essential procedures in surgical practice such as the principle of safe surgery, the pathophysiology of wound healing, knot tying, tissue handling, retraction and any other instruments and procedures used in the operating room.",2024-02-09T17:29:16.725Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/51e53aff-6f8a-42ca-9cb9-47335130f4d7,human physiology,human physiology,knowledge,relationship,cross-sector,The science that studies the human organs and its interactions and mechanisms.,2024-02-09T17:29:10.678Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/52c19dc8-651f-4095-98fe-dcb2799d702e,geriatrics,geriatrics,knowledge,relationship,cross-sector,Geriatrics is a medical specialty mentioned in the EU Directive 2005/36/EC.,2024-02-09T17:29:09.009Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/56a46b02-ab98-4603-8816-c9daff1a119a,kinetics,kinetics,knowledge,relationship,cross-sector,The study of movement and its causes.,2024-02-09T17:29:09.851Z,true
Physiotherapist,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,esco_occupation_skill,essential,knowledge,http://data.europa.eu/esco/skill/5dfcc46a-4fb1-453c-961b-5d41bf077433,neurology,neurology,knowledge,relationship,cross-sector,Neurology is a medical specialty mentioned in the EU Directive 2005/36/EC.,2024-02-09T17:29:13.7Z,true
