career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,external_skill_name,raw_importance,normalized_importance,importance_scale_minimum,importance_scale_maximum,importance_n,importance_standard_error,importance_lower_ci,importance_upper_ci,importance_recommend_suppress,importance_not_relevant,importance_date,importance_domain_source,raw_level,normalized_level,level_scale_minimum,level_scale_maximum,level_n,level_standard_error,level_lower_ci,level_upper_ci,level_recommend_suppress,level_not_relevant,level_date,level_domain_source,recommend_suppress,not_relevant,score_eligible
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.c,Writing,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.c,Writing,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,4.12,78.00,1,5,8,0.1250,3.8800,4.3700,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,4.12,78.00,1,5,8,0.1250,3.8800,4.3700,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2019,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2019,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2019,Analyst,false,false,true
