career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.5.b|Adobe Acrobat,Adobe Acrobat,2.E.5.b,Document management software,Y,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.5.b|Adobe Acrobat,Adobe Acrobat,2.E.5.b,Document management software,Y,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Creative Cloud software,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Creative Cloud software,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.g|Adobe Dreamweaver,Adobe Dreamweaver,2.E.4.g,Web page creation and editing software,N,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.g|Adobe Dreamweaver,Adobe Dreamweaver,2.E.4.g,Web page creation and editing software,N,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.1.c|Adobe Human Capital Application Solution Accelerator,Adobe Human Capital Application Solution Accelerator,2.E.1.c,Human resources software,N,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.1.c|Adobe Human Capital Application Solution Accelerator,Adobe Human Capital Application Solution Accelerator,2.E.1.c,Human resources software,N,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Illustrator,Adobe Illustrator,2.E.4.b,Graphics or photo imaging software,Y,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Illustrator,Adobe Illustrator,2.E.4.b,Graphics or photo imaging software,Y,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.k|Adobe InDesign,Adobe InDesign,2.E.4.k,Desktop publishing software,Y,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.k|Adobe InDesign,Adobe InDesign,2.E.4.k,Desktop publishing software,Y,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.5.b|Adobe LifeCycle Enterprise Suite,Adobe LifeCycle Enterprise Suite,2.E.5.b,Document management software,N,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.5.b|Adobe LifeCycle Enterprise Suite,Adobe LifeCycle Enterprise Suite,2.E.5.b,Document management software,N,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Photoshop,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.4.b|Adobe Photoshop,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.1.c|ADP Workforce Now,ADP Workforce Now,2.E.1.c,Human resources software,N,N,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_software_skills,technology,2.E.1.c|ADP Workforce Now,ADP Workforce Now,2.E.1.c,Human resources software,N,N,true
