source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,normalized_name,category,description,alt_labels
ESCO|esco_skills|http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,3D lighting,3d lighting,sector-specific,The arrangement or digital effect which simulates lighting in a 3D environment.,
ESCO|esco_skills|http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D modelling,3d modelling,cross-sector,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.,"three-dimensional modelling
3D representation
3D designing
3D graphics
3D modeling
3D rendering"
ESCO|esco_skills|http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583,3D printing process,3d printing process,sector-specific,The process of reproducing 3D objects by using 3D printing technologies.,3D Printing
ESCO|esco_skills|http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,abap,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP.","ABAP Programming Techniques
ABAP software development
ABAP programming techniques
ABAP software techniques"
ESCO|esco_skills|http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,accounting department processes,accounting department processes,sector-specific,"The different processes, duties, jargon, role in an organisation, and other specificities of the accounting department within an organisation such as bookkeeping, invoices, recording, and taxing.","accounts department processes
accounting department procedures
accounting processes"
ESCO|esco_skills|http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,accounting entries,accounting entries,cross-sector,"The financial transactions recorded in accounting systems or books of a company together with the metadata linked to the entry such as the date, the amount, the accounts affected, and a description of the transaction.","accounting entry
account entries
accounting transactions
financial transactions records"
ESCO|esco_skills|http://data.europa.eu/esco/skill/880c54f9-866e-4f37-b5fa-25ef8a7d49b6,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/880c54f9-866e-4f37-b5fa-25ef8a7d49b6,accounting techniques,accounting techniques,cross-sector,"The techniques of recording and summarising business and financial transactions and analysing, verifying, and reporting the results.","accounting technique
accounting approaches
accounting methods
techniques of accounting
accounting skills
accounting performance"
ESCO|esco_skills|http://data.europa.eu/esco/skill/9b9244b4-6f62-4834-839b-19e9eba0a407,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/9b9244b4-6f62-4834-839b-19e9eba0a407,acute care,acute care,sector-specific,The type of care administered to patients for a brief and critical sequence of illness such as trauma or recovery from surgery.,"acute medicine
care in acute phase of illness
short term care
care for patients with an urgent medical condition
secondary health care"
O*NET Database|onet_knowledge|2.C.1.a,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.a,Administration and Management,administration and management,Knowledge,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.",
O*NET Database|onet_knowledge|2.C.1.b,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.b,Administrative,administrative,Knowledge,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.",
