career_name,osca_code,osca_title,candidate_rank,isco08_code,isco08_title,partial_correspondence,esco_code,esco_concept_uri,esco_title,matched_label,matched_label_type,exact_label_match,similarity_score,esco_description,decision,review_reason
Accountant (General),211131,Accountant (General),1,2411,Accountants,yes,2411.1.8,http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,financial controller,accountant,alternative_label,no,71.43,"Financial controllers handle all tasks related to the budgeting and accounting aspects of a company or organisation. They implement and ensure compliance with internal financial and accounting procedures, and prepare documentation for external audits. They collect information related to financial statements such as assets, liabilities, equity, and cash flow in order to assess the company's financial position to prepare annual budgets and forecasts.",,
Accountant (General),211131,Accountant (General),2,2411,Accountants,yes,2411.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,accountant,preferred_label,no,71.43,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",,
Accountant (General),211131,Accountant (General),3,2411,Accountants,yes,2411.1.1,http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6,accounting analyst,accounts analyst,alternative_label,no,64.71,"Accounting analysts evaluate the financial statements of clients, usually companies, which include the income sheet, the balance sheet, the statement of cash flows and additional notes to other financial statements. They interpret and implement new accounting systems and accounting procedures and will analyse and determine if the proposed systems conform to accounting regulations and meet user information requirements.",,
Civil Engineer,243231,Civil Engineer,1,2142,Civil engineers,yes,2142.1,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,civil engineer,civil engineer,preferred_label,yes,100.0,"Civil engineers design, plan, and develop technical and engineering specifications for infrastructure and construction projects. They apply engineering knowledge in a vast array of projects, from the construction of infrastructure for transportation, housing projects, and luxury buildings, to the construction of natural sites. They design plans that seek to optimise materials and integrate specifications and resource allocation within the time constraints.",,
Civil Engineer,243231,Civil Engineer,2,2142,Civil engineers,yes,2142.1.2,http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,construction engineer,site engineer,alternative_label,no,74.07,Construction engineers interpret building designs and add technical specifications to construction projects. They integrate engineering principles into the designs to ensure that structures are safe and resistant. They work together with architects and engineers to transform design ideas into executable plans.,,
Civil Engineer,243231,Civil Engineer,3,2142,Civil engineers,yes,2142.1.3,http://data.europa.eu/esco/occupation/a377fafb-7e6e-4925-bc64-8099b58aafb8,drainage engineer,drain engineer,alternative_label,no,71.43,"Drainage engineers design and construct drainage systems for sewers and storm water systems. They evaluate the options to design drainage systems that meet the requirements while ensuring compliance with legislation and environmental standards and policies. Drainage engineers choose the most optimal drainage system to prevent floods, control irrigation and direct sewage away from water sources.",,
Cloud Engineer,273331,Cloud Engineer,1,2512,Software developers,yes,2512.1,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,cloud engineer,cloud engineer,preferred_label,yes,100.0,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",,
Cloud Engineer,273331,Cloud Engineer,2,2512,Software developers,yes,2512.7,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,cloud DevOps engineer,preferred_label,no,80.0,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.",,
Cloud Engineer,273331,Cloud Engineer,3,2512,Software developers,yes,2512.4.1,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,blockchain developer,DLT engineer,alternative_label,no,76.92,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",,
Content Creator (Marketing),221531,Content Creator (Marketing),1,2431,Advertising and marketing professionals,yes,2431.1,http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,advertising copywriter,content marketer,alternative_label,no,68.29,"Advertising copywriters are responsible for the written or verbal design of advertisements and commercials. They write slogans, catchphrases and work closely together with advertising artists.",,
Content Creator (Marketing),221531,Content Creator (Marketing),2,2431,Advertising and marketing professionals,yes,2431.10.4,http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7,online marketer,internet marketer,alternative_label,no,57.14,"Online marketers use e-mail, internet and social media in order to market goods and brands.",,
