career_name,dataset_source,dataset_version,external_id,external_title,mapping_method,review_status,confidence_score
Cloud Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,cloud engineer,manual,approved,
DevOps Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,manual,approved,
Software Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,software developer,manual,approved,
ICT Business Analyst,ESCO,1.2.1,http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0,ICT business analyst,manual,approved,
Data Analyst,ESCO,1.2.1,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,manual,approved,
Data Architect,ESCO,1.2.1,http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427,database designer,manual,approved,
Data Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,data engineer,manual,approved,
Data Scientist,ESCO,1.2.1,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,manual,approved,
Cyber Security Advice and Assessment Specialist,ESCO,1.2.1,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,cybersecurity risk manager,manual,approved,
Accountant (General),ESCO,1.2.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,manual,approved,
Management Accountant,ESCO,1.2.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,manual,approved,
Taxation Accountant,ESCO,1.2.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,manual,approved,
Management Consultant,ESCO,1.2.1,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,business consultant,manual,approved,
Civil Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,civil engineer,manual,approved,
Electrical Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,electrical engineer,manual,approved,
Industrial Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/53d2052f-edc0-4f44-8be1-164526412bfe,industrial engineer,manual,approved,
Mechanical Engineer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/579254cf-6d69-4889-9000-9c79dc568644,mechanical engineer,manual,approved,
Registered Nurse (Acute Care),ESCO,1.2.1,http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50,nurse responsible for general care,manual,approved,
Physiotherapist,ESCO,1.2.1,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,manual,approved,
Occupational Therapist,ESCO,1.2.1,http://data.europa.eu/esco/occupation/33da5532-8c4e-4d1b-b52e-c201ee1bc7ab,occupational therapist,manual,approved,
Health Information Manager,ESCO,1.2.1,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,medical records manager,manual,approved,
Content Creator (Marketing),ESCO,1.2.1,http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7,online marketer,manual,approved,
Digital Marketing Analyst,ESCO,1.2.1,http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef,search engine optimisation expert,manual,approved,
Market Research Analyst,ESCO,1.2.1,http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,market research analyst,manual,approved,
Marketing Specialist,ESCO,1.2.1,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,marketing consultant,manual,approved,
Multimedia Designer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb,digital media designer,manual,approved,
UI / UX Designer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890,user interface designer,manual,approved,
Web Designer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e,web designer,manual,approved,
Graphic Designer,ESCO,1.2.1,http://data.europa.eu/esco/occupation/69bcbb0a-8d80-4ecd-b0a4-9adea2a40de2,graphic designer,manual,approved,
Human Resources Adviser,ESCO,1.2.1,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,human resources officer,manual,approved,
Recruitment Consultant,ESCO,1.2.1,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,recruitment consultant,manual,approved,
Workplace Relations Adviser,ESCO,1.2.1,http://data.europa.eu/esco/occupation/20b9f370-6b56-4679-8c06-c23b866a5bd0,labour relations officer,manual,approved,
Supply Chain Analyst,ESCO,1.2.1,http://data.europa.eu/esco/occupation/51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,logistics analyst,manual,approved,
