career_name,career_category,osca_code,osca_title,onet_soc_code,onet_title,onet_description,matched_label,matched_label_type,normalized_exact,similarity_score,suggested_mapping_method,review_status
Cloud Engineer,Software and Information Technology,273331,Cloud Engineer,15-1231.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",Cloud Engineer,job_title,yes,100.0,exact_title,pending
Cloud Engineer,Software and Information Technology,273331,Cloud Engineer,15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",Cloud Engineer,job_title,yes,100.0,exact_title,pending
Cloud Engineer,Software and Information Technology,273331,Cloud Engineer,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",Cloud Engineer,job_title,yes,100.0,exact_title,pending
Cloud Engineer,Software and Information Technology,273331,Cloud Engineer,15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",Cloud Engineer,job_title,yes,100.0,exact_title,pending
Cloud Engineer,Software and Information Technology,273331,Cloud Engineer,27-4014.00,Sound Engineering Technicians,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.",Sound Engineer,job_title,no,85.71,normalized_title,pending
DevOps Engineer,Software and Information Technology,273332,DevOps Engineer,15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",DevOps Engineer,short_title,yes,100.0,exact_title,pending
DevOps Engineer,Software and Information Technology,273332,DevOps Engineer,17-2072.01,Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,DSP Engineer,short_title,no,81.48,normalized_title,pending
DevOps Engineer,Software and Information Technology,273332,DevOps Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",EHS Engineer,short_title,no,81.48,normalized_title,pending
DevOps Engineer,Software and Information Technology,273332,DevOps Engineer,17-3025.00,Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.",EHS Engineer,short_title,no,81.48,normalized_title,pending
DevOps Engineer,Software and Information Technology,273332,DevOps Engineer,17-2011.00,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",Design Engineer,job_title,no,80.0,normalized_title,pending
Software Engineer,Software and Information Technology,273333,Software Engineer,15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",Software Engineer,job_title,yes,100.0,exact_title,pending
