career_name,dataset_source,dataset_version,external_id,external_title,mapping_method,review_status,confidence_score
Cloud Engineer,O*NET Database,31.0,15-1299.08,Computer Systems Engineers/Architects,manual,approved,
DevOps Engineer,O*NET Database,31.0,15-1252.00,Software Developers,manual,approved,
Software Engineer,O*NET Database,31.0,15-1252.00,Software Developers,manual,approved,
ICT Business Analyst,O*NET Database,31.0,15-1211.00,Computer Systems Analysts,manual,approved,
Data Analyst,O*NET Database,31.0,15-2051.01,Business Intelligence Analysts,manual,approved,
Data Architect,O*NET Database,31.0,15-1243.00,Database Architects,manual,approved,
Data Engineer,O*NET Database,31.0,15-1243.01,Data Warehousing Specialists,manual,approved,
Data Scientist,O*NET Database,31.0,15-2051.00,Data Scientists,manual,approved,
Cyber Security Advice and Assessment Specialist,O*NET Database,31.0,15-1212.00,Information Security Analysts,manual,approved,
Cyber Security Analyst,O*NET Database,31.0,15-1212.00,Information Security Analysts,manual,approved,
Cyber Security Architect,O*NET Database,31.0,15-1299.05,Information Security Engineers,manual,approved,
Cyber Security Engineer,O*NET Database,31.0,15-1299.05,Information Security Engineers,manual,approved,
Accountant (General),O*NET Database,31.0,13-2011.00,Accountants and Auditors,manual,approved,
Management Accountant,O*NET Database,31.0,13-2011.00,Accountants and Auditors,manual,approved,
Taxation Accountant,O*NET Database,31.0,13-2011.00,Accountants and Auditors,manual,approved,
Management Consultant,O*NET Database,31.0,13-1111.00,Management Analysts,manual,approved,
Civil Engineer,O*NET Database,31.0,17-2051.00,Civil Engineers,manual,approved,
Electrical Engineer,O*NET Database,31.0,17-2071.00,Electrical Engineers,manual,approved,
Industrial Engineer,O*NET Database,31.0,17-2112.00,Industrial Engineers,manual,approved,
Mechanical Engineer,O*NET Database,31.0,17-2141.00,Mechanical Engineers,manual,approved,
Registered Nurse (Acute Care),O*NET Database,31.0,29-1141.01,Acute Care Nurses,manual,approved,
Physiotherapist,O*NET Database,31.0,29-1123.00,Physical Therapists,manual,approved,
Occupational Therapist,O*NET Database,31.0,29-1122.00,Occupational Therapists,manual,approved,
Health Information Manager,O*NET Database,31.0,29-9021.00,Health Information Technologists and Medical Registrars,manual,approved,
Content Creator (Marketing),O*NET Database,31.0,13-1161.00,Market Research Analysts and Marketing Specialists,manual,approved,
Digital Marketing Analyst,O*NET Database,31.0,13-1161.01,Search Marketing Strategists,manual,approved,
Market Research Analyst,O*NET Database,31.0,13-1161.00,Market Research Analysts and Marketing Specialists,manual,approved,
Marketing Specialist,O*NET Database,31.0,13-1161.00,Market Research Analysts and Marketing Specialists,manual,approved,
Multimedia Designer,O*NET Database,31.0,27-1014.00,Special Effects Artists and Animators,manual,approved,
UI / UX Designer,O*NET Database,31.0,15-1255.00,Web and Digital Interface Designers,manual,approved,
Web Designer,O*NET Database,31.0,15-1255.00,Web and Digital Interface Designers,manual,approved,
Graphic Designer,O*NET Database,31.0,27-1024.00,Graphic Designers,manual,approved,
Human Resources Adviser,O*NET Database,31.0,13-1071.00,Human Resources Specialists,manual,approved,
Recruitment Consultant,O*NET Database,31.0,13-1071.00,Human Resources Specialists,manual,approved,
Workplace Relations Adviser,O*NET Database,31.0,13-1075.00,Labor Relations Specialists,manual,approved,
Supply Chain Analyst,O*NET Database,31.0,13-1081.02,Logistics Analysts,manual,approved,
