career_name,dataset_source,dataset_version,external_id,external_title,mapping_method,review_status,confidence_score
Cloud Engineer,ABS OSCA,2024 Version 1.0,273331,Cloud Engineer,exact_code,approved,
DevOps Engineer,ABS OSCA,2024 Version 1.0,273332,DevOps Engineer,exact_code,approved,
Software Engineer,ABS OSCA,2024 Version 1.0,273333,Software Engineer,exact_code,approved,
ICT Business Analyst,ABS OSCA,2024 Version 1.0,273232,ICT Business Analyst,exact_code,approved,
Data Analyst,ABS OSCA,2024 Version 1.0,223231,Data Analyst,exact_code,approved,
Data Architect,ABS OSCA,2024 Version 1.0,223232,Data Architect,exact_code,approved,
Data Engineer,ABS OSCA,2024 Version 1.0,223233,Data Engineer,exact_code,approved,
Data Scientist,ABS OSCA,2024 Version 1.0,223234,Data Scientist,exact_code,approved,
Cyber Security Advice and Assessment Specialist,ABS OSCA,2024 Version 1.0,271132,Cyber Security Advice and Assessment Specialist,exact_code,approved,
Cyber Security Analyst,ABS OSCA,2024 Version 1.0,271133,Cyber Security Analyst,exact_code,approved,
Cyber Security Architect,ABS OSCA,2024 Version 1.0,271134,Cyber Security Architect,exact_code,approved,
Cyber Security Engineer,ABS OSCA,2024 Version 1.0,271135,Cyber Security Engineer,exact_code,approved,
Accountant (General),ABS OSCA,2024 Version 1.0,211131,Accountant (General),exact_code,approved,
Management Accountant,ABS OSCA,2024 Version 1.0,211134,Management Accountant,exact_code,approved,
Taxation Accountant,ABS OSCA,2024 Version 1.0,211135,Taxation Accountant,exact_code,approved,
Management Consultant,ABS OSCA,2024 Version 1.0,223432,Management Consultant,exact_code,approved,
Civil Engineer,ABS OSCA,2024 Version 1.0,243231,Civil Engineer,exact_code,approved,
Electrical Engineer,ABS OSCA,2024 Version 1.0,243331,Electrical Engineer,exact_code,approved,
Industrial Engineer,ABS OSCA,2024 Version 1.0,243531,Industrial Engineer,exact_code,approved,
Mechanical Engineer,ABS OSCA,2024 Version 1.0,243532,Mechanical Engineer,exact_code,approved,
Registered Nurse (Acute Care),ABS OSCA,2024 Version 1.0,265432,Registered Nurse (Acute Care),exact_code,approved,
Physiotherapist,ABS OSCA,2024 Version 1.0,262431,Physiotherapist,exact_code,approved,
Occupational Therapist,ABS OSCA,2024 Version 1.0,262331,Occupational Therapist,exact_code,approved,
Health Information Manager,ABS OSCA,2024 Version 1.0,223933,Health Information Manager,exact_code,approved,
Content Creator (Marketing),ABS OSCA,2024 Version 1.0,221531,Content Creator (Marketing),exact_code,approved,
Digital Marketing Analyst,ABS OSCA,2024 Version 1.0,221532,Digital Marketing Analyst,exact_code,approved,
Market Research Analyst,ABS OSCA,2024 Version 1.0,221533,Market Research Analyst,exact_code,approved,
Marketing Specialist,ABS OSCA,2024 Version 1.0,221534,Marketing Specialist,exact_code,approved,
Multimedia Designer,ABS OSCA,2024 Version 1.0,242131,Multimedia Designer,exact_code,approved,
UI / UX Designer,ABS OSCA,2024 Version 1.0,242132,UI / UX Designer,exact_code,approved,
Web Designer,ABS OSCA,2024 Version 1.0,242133,Web Designer,exact_code,approved,
Graphic Designer,ABS OSCA,2024 Version 1.0,242332,Graphic Designer,exact_code,approved,
Human Resources Adviser,ABS OSCA,2024 Version 1.0,222131,Human Resources Adviser,exact_code,approved,
Recruitment Consultant,ABS OSCA,2024 Version 1.0,222231,Recruitment Consultant,exact_code,approved,
Workplace Relations Adviser,ABS OSCA,2024 Version 1.0,222132,Workplace Relations Adviser,exact_code,approved,
Supply Chain Analyst,ABS OSCA,2024 Version 1.0,223434,Supply Chain Analyst,exact_code,approved,
