canonical_key,dataset_source,dataset_version,external_id,external_label,source_domain,mapping_method,review_status,confidence_score,mapping_basis
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,ESCO,1.2.1,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,sport and exercise medicine,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,ESCO,1.2.1,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,ESCO,1.2.1,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental development,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,ESCO,1.2.1,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a rehabilitation programme,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,ESCO,1.2.1,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,ESCO,1.2.1,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,ESCO,1.2.1,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,ESCO,1.2.1,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,ESCO,1.2.1,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to quality physiotherapy services,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpret circuit diagrams,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,ESCO,1.2.1,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,esco_skills,exact_title,approved,,canonical_name_exact
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,ESCO,1.2.1,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,esco_skills,exact_title,approved,,canonical_name_exact
