left_source,left_source_key,left_concept_type,left_external_id,left_name,right_source,right_source_key,right_concept_type,right_external_id,right_name,match_basis,auto_merge,review_status
O*NET Database,O*NET Database|onet_software_skills|2.E.7.h|Django,technology,2.E.7.h|Django,Django,GradNavi,existing_skill:2,technology,2,Django,existing_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.j|PostgreSQL,technology,2.E.6.j|PostgreSQL,PostgreSQL,GradNavi,existing_skill:4,technology,4,PostgreSQL,existing_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.7.e|Python,technology,2.E.7.e|Python,Python,GradNavi,existing_skill:1,technology,1,Python,existing_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.7.h|React,technology,2.E.7.h|React,React,GradNavi,existing_skill:3,technology,3,React,existing_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_knowledge|2.C.4.c,knowledge,2.C.4.c,Chemistry,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/cde9911c-f92e-4de1-811f-336e177ac4ce,knowledge,http://data.europa.eu/esco/skill/cde9911c-f92e-4de1-811f-336e177ac4ce,chemistry,cross_source_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_knowledge|2.C.4.a,knowledge,2.C.4.a,Mathematics,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,knowledge,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,mathematics,cross_source_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_knowledge|2.C.4.b,knowledge,2.C.4.b,Physics,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/692ace70-7f97-4214-92bd-88f7637d8a44,knowledge,http://data.europa.eu/esco/skill/692ace70-7f97-4214-92bd-88f7637d8a44,physics,cross_source_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_knowledge|2.C.4.e,knowledge,2.C.4.e,Psychology,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,knowledge,http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,psychology,cross_source_exact_preferred,true,approved
O*NET Database,O*NET Database|onet_essential_skills|2.A.1.b,skill,2.A.1.b,Active Listening,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,skill,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,listen actively,cross_source_exact_alias,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|ADO.NET,technology,2.E.6.f|ADO.NET,ADO.NET,O*NET Database,O*NET Database|onet_software_skills|2.E.6.d|ADO.NET,technology,2.E.6.d|ADO.NET,ADO.NET,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.7.h|Apache Groovy,technology,2.E.7.h|Apache Groovy,Apache Groovy,O*NET Database,O*NET Database|onet_software_skills|2.E.7.e|Apache Groovy,technology,2.E.7.e|Apache Groovy,Apache Groovy,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|Apache Hive,technology,2.E.6.f|Apache Hive,Apache Hive,O*NET Database,O*NET Database|onet_software_skills|2.E.6.d|Apache Hive,technology,2.E.6.d|Apache Hive,Apache Hive,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.7.e|Apache Spark,technology,2.E.7.e|Apache Spark,Apache Spark,O*NET Database,O*NET Database|onet_software_skills|2.E.6.m|Apache Spark,technology,2.E.6.m|Apache Spark,Apache Spark,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.2.d|Cost estimating software,technology,2.E.2.d|Cost estimating software,Cost estimating software,O*NET Database,O*NET Database|onet_software_skills|2.E.1.e|Cost estimating software,technology,2.E.1.e|Cost estimating software,Cost estimating software,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.8.h|ESRI ArcGIS software,technology,2.E.8.h|ESRI ArcGIS software,ESRI ArcGIS software,O*NET Database,O*NET Database|onet_software_skills|2.E.16.e|ESRI ArcGIS software,technology,2.E.16.e|ESRI ArcGIS software,ESRI ArcGIS software,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.j|IBM Informix,technology,2.E.6.j|IBM Informix,IBM Informix,O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|IBM Informix,technology,2.E.6.f|IBM Informix,IBM Informix,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.i|Informatica Corporation PowerCenter,technology,2.E.6.i|Informatica Corporation PowerCenter,Informatica Corporation PowerCenter,O*NET Database,O*NET Database|onet_software_skills|2.E.2.b|Informatica Corporation PowerCenter,technology,2.E.2.b|Informatica Corporation PowerCenter,Informatica Corporation PowerCenter,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|LinkedIn,technology,2.E.6.f|LinkedIn,LinkedIn,O*NET Database,O*NET Database|onet_software_skills|2.E.4.g|LinkedIn,technology,2.E.4.g|LinkedIn,LinkedIn,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.c|Microsoft Dynamics,technology,2.E.6.c|Microsoft Dynamics,Microsoft Dynamics,O*NET Database,O*NET Database|onet_software_skills|2.E.2.b|Microsoft Dynamics,technology,2.E.2.b|Microsoft Dynamics,Microsoft Dynamics,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.4.b|Microsoft Visio,technology,2.E.4.b|Microsoft Visio,Microsoft Visio,O*NET Database,O*NET Database|onet_software_skills|2.E.1.p|Microsoft Visio,technology,2.E.1.p|Microsoft Visio,Microsoft Visio,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|MySQL,technology,2.E.6.f|MySQL,MySQL,O*NET Database,O*NET Database|onet_software_skills|2.E.6.d|MySQL,technology,2.E.6.d|MySQL,MySQL,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.6.f|Oracle Database,technology,2.E.6.f|Oracle Database,Oracle Database,O*NET Database,O*NET Database|onet_software_skills|2.E.6.d|Oracle Database,technology,2.E.6.d|Oracle Database,Oracle Database,onet_technology_exact_name,true,approved
O*NET Database,O*NET Database|onet_software_skills|2.E.7.c|SAP NetWeaver BW,technology,2.E.7.c|SAP NetWeaver BW,SAP NetWeaver BW,O*NET Database,O*NET Database|onet_software_skills|2.E.6.g|SAP NetWeaver BW,technology,2.E.6.g|SAP NetWeaver BW,SAP NetWeaver BW,onet_technology_exact_name,true,approved
