left_source,left_source_key,left_concept_type,left_external_id,left_name,right_source,right_source_key,right_concept_type,right_external_id,right_name,match_basis,name_similarity,description_overlap,ranking_score,review_status,review_reason
O*NET Database,O*NET Database|onet_knowledge|2.C.1.a,knowledge,2.C.1.a,Administration and Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/d80f7a28-1e75-4247-9104-de8e5f909f0a,knowledge,http://data.europa.eu/esco/skill/d80f7a28-1e75-4247-9104-de8e5f909f0a,reputation management,fuzzy_review:reputational management,69.23,0.0,55.38,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.1.a,knowledge,2.C.1.a,Administration and Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/5d7890d5-d229-4b79-a5da-6819e38a52b6,knowledge,http://data.europa.eu/esco/skill/5d7890d5-d229-4b79-a5da-6819e38a52b6,health records management,fuzzy_review:health information management,68.97,0.0,55.18,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.1.a,knowledge,2.C.1.a,Administration and Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/e5a6e1e0-1b07-4432-83ba-77d593b2cb47,knowledge,http://data.europa.eu/esco/skill/e5a6e1e0-1b07-4432-83ba-77d593b2cb47,SAS Data Management,fuzzy_review:SAS Data Management,66.67,2.56,53.85,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.1.b,knowledge,2.C.1.b,Administrative,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,knowledge,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,statistics,fuzzy_review:administrative data,84.85,2.22,68.32,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.1.b,knowledge,2.C.1.b,Administrative,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,knowledge,http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,risk management,fuzzy_review:risk administration,72.73,2.56,58.7,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.1.b,knowledge,2.C.1.b,Administrative,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,knowledge,http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,personnel management,fuzzy_review:personnel administration,63.16,2.78,51.08,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.d,knowledge,2.C.4.d,Biology,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/8881a9c2-bd07-4954-bf27-c1f8acca9af0,knowledge,http://data.europa.eu/esco/skill/8881a9c2-bd07-4954-bf27-c1f8acca9af0,sociology,fuzzy_review:sociology,75.0,4.0,60.8,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.d,knowledge,2.C.4.d,Biology,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/db8a9ba7-96ad-4c53-b552-d4f1570dfefb,knowledge,http://data.europa.eu/esco/skill/db8a9ba7-96ad-4c53-b552-d4f1570dfefb,pathology,fuzzy_review:aetiology,75.0,0.0,60.0,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.d,knowledge,2.C.4.d,Biology,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/8bdd25f8-4b6e-40fe-a2cf-c1badc594114,knowledge,http://data.europa.eu/esco/skill/8bdd25f8-4b6e-40fe-a2cf-c1badc594114,geology,fuzzy_review:geology,71.43,0.0,57.14,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.3.d,knowledge,2.C.3.d,Building and Construction,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead,knowledge,http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead,bridge engineering,fuzzy_review:bridge construction,77.27,0.0,61.82,pending,Fuzzy candidate only. Do not merge without manual review.
