source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,reason
O*NET Database|onet_knowledge|2.C.1.a,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.a,Administration and Management,Knowledge,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.1.b,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.b,Administrative,Knowledge,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.4.d,O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.d,Biology,Knowledge,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.3.d,O*NET Database,31.0,knowledge,onet_knowledge,2.C.3.d,Building and Construction,Knowledge,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.9.b,O*NET Database,31.0,knowledge,onet_knowledge,2.C.9.b,Communications and Media,Knowledge,"Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.3.a,O*NET Database,31.0,knowledge,onet_knowledge,2.C.3.a,Computers and Electronics,Knowledge,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.1.e,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.e,Customer and Personal Service,Knowledge,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.3.c,O*NET Database,31.0,knowledge,onet_knowledge,2.C.3.c,Design,Knowledge,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.1.c,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.c,Economics and Accounting,Knowledge,"Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.6,O*NET Database,31.0,knowledge,onet_knowledge,2.C.6,Education and Training,Knowledge,"Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.",No approved automatic normalization match.
