onet_soc_code,onet_title,gradnavi_careers,api_position,technology_title,percentage,hot_technology,in_demand,source_url
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,1,Microsoft Office software,21,True,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,2,Oracle HRIS,19,,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,3,Microsoft Excel,17,True,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,4,Applicant tracking software,15,,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,5,Microsoft PowerPoint,11,True,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,6,Microsoft Outlook,8,True,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1071.00,Human Resources Specialists,Human Resources Adviser; Recruitment Consultant,7,Workday software,6,True,True,https://api-v2.onetcenter.org/online/occupations/13-1071.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,1,Microsoft Office software,23,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,2,Microsoft Excel,17,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,3,Oracle HRIS,15,,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,4,Microsoft PowerPoint,12,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,5,Microsoft Outlook,8,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,6,Workday software,6,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1075.00,Labor Relations Specialists,Workplace Relations Adviser,7,ServiceNow,6,True,True,https://api-v2.onetcenter.org/online/occupations/13-1075.00/in_demand_skills?start=1&end=2000&sort=percentage
13-1081.02,Logistics Analysts,Supply Chain Analyst,1,Microsoft Excel,39,True,True,https://api-v2.onetcenter.org/online/occupations/13-1081.02/in_demand_skills?start=1&end=2000&sort=percentage
